method,fold_idx,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate,n_patients
random_forest,1,0.5765504579707589,0.39576633611330514,0.4722648470813172,0.5858585858585859,0.4444444444444444,18
random_forest,2,0.6630426914162794,0.44758139003605163,0.48091820761314286,0.7986111111111112,0.7222222222222222,18
random_forest,3,0.6627866582042313,0.4725554731891545,0.5490097535014637,0.8494949494949495,0.7777777777777778,18
random_forest,4,0.5643758717665099,0.3992380679405518,0.4606699437598976,0.5877298113409224,0.5,18
random_forest,5,0.6901968621685965,0.5620868465736703,0.6076052419503082,0.683641975308642,0.5,18
rbf_svm,1,0.6286585564185658,0.47192593368843266,0.5129567435313236,0.748015873015873,0.6111111111111112,18
rbf_svm,2,0.6454018101308069,0.41241451228016457,0.4347700844990079,0.6504208754208753,0.5,18
rbf_svm,3,0.6051816657572775,0.3930289755561049,0.4441711028041157,0.7822751322751322,0.6666666666666666,18
rbf_svm,4,0.5575641624126795,0.39713535710827813,0.4495056487715608,0.5827653283535636,0.4444444444444444,18
rbf_svm,5,0.6775644722079088,0.5359941420923057,0.5715198326924963,0.5989533011272141,0.3888888888888889,18
single_hfo_duration_fraction,1,0.5431440949929489,0.33482001670636463,0.4052122067424155,0.4925378119822564,0.3333333333333333,18
single_hfo_duration_fraction,2,0.5856232819055092,0.305635312473359,0.3817617500446504,0.48974087640754305,0.3333333333333333,18
single_hfo_duration_fraction,3,0.6302630566675109,0.409533541287356,0.45858998934121964,0.7297348484848485,0.6666666666666666,18
single_hfo_duration_fraction,4,0.5924242439185771,0.43702820013276816,0.47786117449895094,0.5978395061728395,0.4444444444444444,18
single_hfo_duration_fraction,5,0.6045183104288059,0.4215209512527365,0.4826210990013659,0.5839031339031339,0.3888888888888889,18
single_hfo_event_rate,1,0.5702432316728839,0.37268108918953047,0.4049503650195692,0.48663565042875384,0.2777777777777778,18
single_hfo_event_rate,2,0.5908515454326903,0.31155826902966904,0.35893292609528266,0.5710148874364561,0.4444444444444444,18
